id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
101001,2102,22,13,363,66,92,722,69,111,101,22,20,9,255,73,26,678
101002,5175,38,25,694,123,194,2348,173,444,155,53,34,9,518,81,79,1572
101003,4350,19,8,392,73,117,1763,169,435,101,64,18,6,334,47,48,884
102004,4014,39,22,581,111,139,1472,88,186,105,25,29,10,615,199,90,1086
102005,1588,24,11,287,50,68,555,22,73,113,12,14,2,214,65,23,520
102006,1996,10,6,303,57,86,671,66,102,64,17,9,1,286,101,42,569
103007,2212,18,8,181,33,65,1109,38,155,159,132,9,4,237,68,16,411
104008,1239,8,4,190,13,35,455,13,72,99,55,3,2,142,28,13,307
104009,1298,9,3,101,19,45,539,20,86,99,77,2,0,195,83,12,208
109900,845,12,11,60,13,30,307,18,68,51,1,2,1,75,23,8,121
111001,237,1,0,25,4,10,118,0,17,11,23,4,2,23,6,2,44
111002,1810,23,10,247,45,63,722,55,102,119,25,17,3,199,26,64,601
111003,2057,23,15,290,67,64,960,62,157,122,24,11,4,186,40,45,596
112004,1578,12,7,171,30,41,743,32,121,70,53,8,1,146,29,25,327
112005,2312,12,9,201,32,68,1119,103,303,130,65,19,4,264,61,42,500
113006,2968,34,27,244,49,88,1322,83,359,149,72,18,5,338,78,29,602
113007,4881,23,11,496,113,132,2314,85,385,221,66,25,12,417,117,63,906
113008,2415,20,14,159,50,44,858,34,85,97,15,8,3,182,75,59,304
114009,3181,19,13,302,65,97,1515,47,211,268,50,20,7,375,120,75,722
114010,1370,9,5,144,36,39,574,45,128,48,16,8,3,147,41,34,285
114011,1779,16,10,160,27,56,781,56,149,102,22,22,13,233,56,27,374
115012,470,2,2,37,9,13,252,10,33,67,14,2,1,55,16,10,102
115013,1751,7,5,136,37,54,913,45,120,265,83,13,4,146,23,25,294
119900,570,17,12,28,13,16,297,34,91,54,1,8,2,61,0,15,102
121001,2821,23,11,342,92,103,1044,29,250,170,63,24,6,296,65,93,665
121002,3322,37,20,315,69,110,1303,37,246,107,75,25,8,321,70,112,706
122003,3290,29,9,421,103,172,1234,22,195,72,45,19,9,242,27,86,877
122004,5349,22,8,234,65,102,1027,18,243,53,56,11,6,144,17,288,499
122005,1914,14,5,208,54,54,937,14,73,65,21,5,2,167,31,24,369
124006,998,1,0,78,18,46,412,21,122,46,62,6,4,105,15,36,179
124007,1871,10,9,136,24,58,917,42,226,201,178,12,3,196,59,34,302
125008,1176,6,3,110,24,37,520,11,101,74,41,8,3,132,20,24,265
125009,3284,33,16,385,100,138,1255,29,166,99,116,22,6,353,134,97,727
126010,945,10,5,85,20,40,334,4,78,17,21,6,2,143,65,15,186
126011,2549,32,18,367,71,127,1091,41,217,69,16,30,16,214,39,57,706
126012,968,8,5,162,39,72,321,7,85,19,29,6,2,76,8,28,356
129900,1606,11,9,99,24,47,940,30,174,43,1,2,0,70,6,33,192
