id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,4575,52,28,341,88,123,2068,13,166,281,55,12,6,304,58,226,913
011002,7392,37,15,522,127,143,3458,11,161,339,21,19,4,478,157,164,1002
011003,21462,150,84,1831,467,399,10445,55,547,891,137,42,12,1261,366,1037,3602
011004,4131,39,29,260,62,76,1830,38,176,358,64,18,7,420,170,86,888
012005,6989,61,25,674,208,199,2057,45,312,324,93,28,15,630,89,609,1384
012006,9268,46,28,636,144,225,3463,27,227,330,96,38,16,541,92,544,1569
013007,5874,56,27,724,167,213,2438,46,280,274,77,30,6,465,116,275,1446
013008,6393,60,40,685,199,208,2465,55,381,323,75,30,10,581,221,407,1386
014009,6098,59,41,683,157,215,2642,45,448,256,113,32,13,511,85,143,1449
014010,7856,84,40,954,257,292,2817,40,413,308,113,37,14,753,189,560,1801
019900,4319,63,50,285,75,64,1918,26,219,133,1,5,1,198,58,182,527
021001,9233,122,66,761,211,251,3989,41,432,481,105,41,17,670,117,626,1891
022002,11577,112,76,798,262,257,5494,107,504,1156,113,54,23,1249,484,502,1999
023003,5043,84,58,488,201,91,2337,25,228,282,43,25,8,370,79,456,1015
023004,6656,173,142,545,256,127,2338,37,208,447,57,45,15,529,108,1299,1332
024005,2549,37,25,231,59,63,1229,51,122,221,45,8,5,295,60,57,636
024006,7984,83,60,733,261,142,3374,31,192,317,33,20,9,442,110,671,1471
025007,4080,30,15,368,106,93,1778,33,80,351,49,48,9,597,118,117,1198
025008,10725,112,77,953,341,161,4111,45,246,743,68,37,15,1050,333,1319,2558
029900,2443,67,60,129,55,52,1000,17,108,96,0,4,1,147,45,185,331
031001,1759,8,4,237,56,87,715,15,69,113,8,23,4,251,49,35,424
032002,1555,5,4,102,14,52,645,31,125,146,62,15,7,204,30,15,321
032003,804,3,0,72,10,40,354,7,71,59,29,4,2,80,10,9,158
033004,824,4,4,79,9,41,350,6,53,85,47,6,4,96,27,21,173
033005,1394,5,4,106,22,44,673,21,113,135,45,9,4,178,39,24,223
034006,1051,11,8,77,9,31,519,15,118,50,94,9,5,114,18,8,245
034007,2994,36,30,233,55,90,1522,45,139,481,58,12,2,304,88,38,640
034008,2422,25,14,226,41,99,1057,70,144,340,46,18,7,293,88,45,617
035009,3404,16,9,339,70,132,1695,61,187,346,83,12,6,397,101,64,828
035010,1353,10,4,145,28,52,578,29,105,91,30,9,4,182,34,51,396
036011,2937,31,21,248,65,67,1348,41,90,367,38,15,2,287,88,144,605
036012,2828,21,8,208,39,75,1576,71,163,391,41,11,4,299,89,70,608
036013,1963,10,7,168,39,48,870,28,58,224,59,8,2,305,131,30,465
036014,4175,34,21,326,63,123,2038,70,165,300,72,22,7,480,175,92,802
037015,3179,17,8,379,92,67,1527,37,138,357,70,13,5,370,132,48,750
037016,2585,26,12,155,27,67,1212,52,133,356,64,7,4,310,105,47,600
039900,1483,22,18,74,12,41,523,27,114,135,0,8,3,99,20,47,199
041001,2615,35,10,308,81,107,1000,72,297,58,75,26,17,195,28,212,674
042002,1429,13,10,161,50,58,599,23,143,47,82,13,13,176,63,32,361
042003,3503,27,16,301,77,132,1832,49,301,200,122,17,11,318,43,44,787
043004,4411,37,15,453,99,190,1808,45,233,367,89,19,10,437,101,107,1069
043005,1772,20,7,162,37,72,731,27,128,97,23,13,7,188,29,47,441
043006,8232,49,21,740,169,242,4043,34,365,605,122,33,19,635,112,152,1810
044007,1813,13,6,140,21,68,773,31,233,87,117,9,2,265,114,21,423
044008,2494,15,12,163,28,64,1404,66,239,274,109,15,4,251,40,34,548
045009,3623,25,14,305,57,105,1790,57,294,245,94,16,10,276,21,52,837
045010,10823,116,47,931,250,234,5137,71,490,450,119,32,15,676,214,291,1923
045011,7091,32,19,343,66,143,2674,66,451,569,144,23,7,405,72,133,1239
049900,1985,38,35,124,34,69,780,34,178,89,0,9,7,89,15,49,295
051001,1740,12,4,163,35,61,790,38,165,64,30,23,13,222,13,25,471
051002,2777,18,9,392,72,157,1038,80,147,111,53,44,15,287,9,66,869
051003,5467,61,27,653,157,252,1856,45,237,157,35,28,16,523,47,249,1305
052004,1741,14,3,167,41,71,795,51,116,113,23,16,6,188,10,18,423
052005,2433,21,9,364,79,119,856,33,148,89,53,25,12,332,70,41,731
052006,5686,36,18,585,145,189,2408,28,193,163,55,20,8,354,40,99,1111
053007,1690,17,7,150,33,78,651,41,115,48,21,14,10,105,9,37,334
053008,1384,13,8,128,25,43,624,37,117,90,38,8,5,128,33,34,326
054009,930,6,3,88,21,58,338,19,34,36,86,7,5,121,4,8,233
059900,903,13,9,54,11,29,338,25,77,32,1,9,7,72,1,29,138
