id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,4835,73,48,462,145,105,2282,13,328,129,62,13,4,220,20,96,854
011002,7069,44,19,486,129,124,3641,18,281,219,33,4,1,345,151,58,830
011003,17774,184,110,1336,349,304,9408,77,664,806,281,39,17,1164,428,485,2765
011004,4378,32,9,216,49,63,2434,99,229,344,137,6,3,380,168,69,962
012005,6522,88,42,578,153,232,2361,71,420,328,139,44,12,501,89,197,1298
012006,9880,72,34,603,142,176,3350,78,407,341,128,32,16,447,77,331,1294
013007,7614,119,59,783,207,248,3459,26,368,263,166,27,8,412,46,346,1629
014009,6476,84,36,677,203,258,2762,68,501,282,153,28,16,500,80,214,1645
014010,9026,150,69,1119,335,373,3187,47,562,312,201,69,25,776,117,495,2327
019900,6543,133,147,614,96,147,3219,43,512,264,1,34,8,536,100,294,1142
021001,7974,120,68,676,186,236,3366,55,618,336,186,41,15,616,112,257,1636
022002,9198,119,65,750,222,248,4553,133,550,883,338,31,14,698,164,253,1828
023003,4815,102,75,460,160,100,2501,34,139,315,98,27,4,436,106,173,1005
023004,5642,190,155,559,200,98,2366,59,159,369,124,30,13,471,140,639,1223
024005,2364,29,16,202,63,63,1316,57,170,180,56,13,1,233,26,24,600
024006,5980,72,50,539,155,113,2859,50,260,248,68,13,3,537,172,184,1175
025007,3886,28,14,270,73,75,1716,75,134,378,76,28,13,395,57,60,805
025008,8566,109,68,873,293,146,3939,89,286,613,144,56,26,1195,317,454,2056
029900,4222,137,111,463,85,89,1858,50,320,193,0,26,1,513,74,347,961
031001,1534,11,4,116,20,66,793,17,131,138,29,17,9,221,78,31,302
032002,1663,15,4,116,28,72,825,33,242,167,59,17,7,158,28,16,358
032003,981,3,2,70,18,32,468,45,68,42,22,2,0,123,22,8,167
033004,919,4,2,104,19,40,451,7,102,97,36,6,3,83,12,6,202
033005,1359,5,1,58,11,32,770,32,187,116,62,9,7,83,6,14,151
034006,997,13,7,56,13,36,580,13,124,124,67,5,2,69,13,10,185
034007,3449,34,10,204,42,88,2027,41,222,542,102,10,5,303,67,23,720
034008,2312,15,8,229,54,85,1163,48,184,388,59,13,5,213,32,27,591
035009,3101,26,7,252,51,117,1581,60,209,241,63,23,15,404,96,37,921
035010,1352,11,8,138,24,44,600,20,137,60,26,28,22,125,18,30,318
036011,2981,43,25,189,59,53,1652,87,172,392,65,10,7,310,73,48,637
036012,3154,21,6,204,43,59,1882,86,205,448,52,12,3,236,56,51,582
036013,2093,14,4,135,39,42,1259,57,90,276,90,10,2,224,67,17,564
036014,4204,41,19,248,60,65,2143,42,280,319,43,17,6,477,236,62,595
037015,3602,27,10,311,83,51,2144,86,211,339,118,15,9,386,130,42,871
037016,2886,14,6,148,30,73,1561,119,221,390,87,17,6,305,65,45,661
039900,2502,35,24,215,38,96,1164,69,353,124,12,22,3,376,76,72,545
041001,2461,51,14,283,62,140,943,58,283,63,79,14,7,204,13,148,660
042002,1465,17,6,115,34,37,749,34,231,55,62,5,3,157,67,19,244
042003,3766,29,7,178,47,91,2238,59,436,186,110,10,7,206,29,19,536
043004,4732,73,28,391,94,160,2255,75,358,446,172,18,11,448,132,130,1152
043005,1780,39,21,143,34,64,797,12,162,96,57,10,3,116,14,77,448
043006,9709,116,49,647,172,203,4880,45,474,590,276,20,8,593,118,281,1570
044007,1665,12,6,99,32,56,952,51,320,82,164,5,3,131,36,12,397
044008,2341,22,9,145,25,73,1428,52,409,183,166,5,2,229,39,11,524
045009,3752,34,13,246,53,118,1756,95,366,278,141,14,7,324,120,88,736
045010,11495,132,48,1019,357,254,5691,119,650,374,272,15,2,573,149,210,2017
045011,4912,70,26,333,92,140,2514,67,549,488,164,24,11,429,92,56,1001
049900,3449,44,31,399,47,171,1530,53,448,132,0,9,0,349,80,129,777
051001,1929,14,8,167,40,73,957,20,161,55,51,20,6,197,18,35,684
051002,2888,50,19,422,79,141,1117,33,169,142,89,40,5,306,11,43,1067
051003,6152,87,40,722,171,229,2321,40,261,238,76,28,7,562,110,202,1541
052004,1747,17,8,160,43,56,875,29,126,58,56,8,2,212,55,20,396
052005,2918,24,10,364,100,150,1102,51,155,70,71,18,3,337,44,29,999
052006,6048,43,21,445,108,205,2450,40,223,183,88,19,7,510,104,115,1175
053007,2060,20,8,149,38,58,1052,28,162,58,53,11,3,215,21,25,525
053008,1595,18,11,151,33,61,733,25,144,79,30,6,3,137,25,12,402
054009,927,3,1,64,15,28,429,10,101,19,80,9,4,116,17,3,149
059900,1855,19,13,173,34,77,689,27,148,62,4,15,5,328,76,44,420
061001,4600,62,28,190,32,67,2821,27,189,169,107,12,5,226,75,34,552
061002,3181,51,20,246,53,137,1580,109,396,230,162,16,6,308,58,56,831
062003,3001,31,13,293,60,133,1273,57,304,120,137,24,6,340,59,81,748
062004,2571,16,10,227,48,88,1252,57,330,181,89,12,6,254,67,54,513
063005,2505,30,12,150,29,90,1360,56,357,264,148,16,4,259,58,37,455
063006,3369,29,6,189,32,100,1887,84,480,218,166,17,8,269,32,46,602
064007,2416,18,8,161,32,74,1289,48,414,128,155,6,2,266,106,29,400
064008,3732,22,7,193,40,104,2113,84,658,216,291,14,2,370,130,38,556
069900,1501,29,19,137,11,79,571,23,147,75,1,10,1,245,58,48,351
071001,6112,162,86,491,157,143,3029,39,276,178,137,32,10,348,50,196,1176
071002,2721,54,19,220,65,79,1190,44,201,259,96,17,9,284,82,85,653
072003,1874,31,17,159,43,57,936,18,149,228,73,8,3,164,28,47,461
072004,4550,48,25,379,105,112,1901,34,188,379,89,14,6,336,92,125,892
073005,2873,23,8,116,17,50,1896,31,201,256,55,10,4,158,49,30,321
073006,1925,29,8,130,24,48,889,47,191,141,35,16,3,185,50,31,352
074007,2257,20,7,152,34,62,740,15,149,140,31,14,3,198,38,147,395
074008,3582,46,17,291,66,103,1516,46,313,133,73,19,6,280,52,56,687
074009,2602,18,8,177,48,111,1188,44,265,72,41,9,4,173,23,27,478
075010,2399,32,16,234,45,109,999,59,255,73,84,14,5,277,49,65,672
075011,1801,21,12,161,43,56,795,27,226,59,61,9,0,176,10,32,405
076012,1301,16,7,129,29,52,592,21,147,46,45,11,1,106,11,21,302
076013,1342,6,3,109,27,54,690,10,84,29,23,9,2,104,12,23,306
076014,1026,5,2,120,26,43,447,22,156,19,98,11,5,108,4,21,269
076015,1950,20,8,190,36,85,775,28,226,76,81,14,5,229,60,39,428
079900,2800,69,45,262,43,114,1058,21,226,81,0,25,1,339,63,177,614
081001,5833,131,73,646,218,198,2116,37,273,194,140,31,12,534,123,842,1564
081002,9124,125,64,798,227,239,4297,55,408,219,175,39,19,609,121,187,1966
081003,5681,93,45,472,170,159,2533,61,221,276,151,26,14,528,111,204,1221
081004,5117,110,58,557,161,185,2158,44,330,261,148,30,15,487,87,107,1435
081005,2924,28,14,224,66,123,1274,54,301,32,44,21,8,497,44,22,643
082006,2348,29,18,227,75,85,1023,38,295,59,67,20,7,181,13,30,645
082007,2329,41,24,184,36,94,989,56,275,87,91,19,8,205,24,17,485
082008,1554,23,11,127,34,61,663,24,204,36,93,10,3,205,27,19,422
083009,2843,49,26,132,36,62,1344,22,121,105,46,17,8,343,45,16,471
083010,1019,21,5,131,28,50,401,21,100,54,26,10,3,121,9,6,332
084011,969,10,2,87,19,38,450,12,110,25,28,13,1,86,5,5,211
084012,2603,30,17,210,67,91,1273,109,414,137,153,8,3,253,21,13,517
089900,2478,62,54,284,54,113,1017,25,280,73,1,7,1,264,30,167,594
091001,2027,38,23,128,32,31,1081,19,96,223,42,2,1,158,55,54,326
091002,1002,10,6,76,15,23,548,22,174,75,32,6,1,123,15,4,223
091003,1386,20,11,93,20,55,641,32,182,98,47,8,3,155,46,17,291
091004,1393,10,3,92,16,52,602,57,152,81,45,11,6,151,35,16,233
092005,2406,20,12,329,76,91,975,60,146,117,27,10,5,339,122,38,655
092006,2026,13,4,140,39,43,914,22,84,124,10,9,5,264,145,27,268
092007,1850,19,12,110,33,51,913,28,127,200,18,5,1,141,31,14,265
092008,1001,10,5,140,34,39,314,19,50,73,13,20,14,197,61,24,308
093009,1336,7,3,154,30,71,596,46,203,93,46,13,3,117,19,21,314
093010,759,4,1,64,9,28,332,21,76,39,28,5,3,107,29,12,129
