id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,4053,48,32,381,107,136,1663,19,160,297,27,17,4,254,40,184,896
011002,6948,35,18,450,121,267,2702,10,196,231,32,13,2,456,120,139,1092
011003,19287,137,80,1617,470,389,8721,48,614,754,151,52,16,1338,337,813,3463
011004,3890,46,35,298,71,88,1809,35,174,365,45,17,5,502,185,98,938
012005,6326,69,36,607,155,209,2008,38,274,368,118,51,15,631,89,369,1387
012006,9328,56,29,695,181,202,3467,25,221,388,91,52,17,560,85,444,1708
013007,6119,57,28,644,197,228,2603,45,325,272,56,26,10,512,146,320,1476
013008,6575,64,37,766,222,209,2513,46,364,265,69,54,14,741,268,401,1466
014009,6007,60,30,636,157,230,2539,47,423,222,91,32,14,524,62,251,1415
014010,7818,101,61,1002,308,324,2627,43,486,272,98,34,16,742,180,538,1930
019900,3050,65,52,223,64,77,1418,26,223,114,0,16,5,173,27,100,506
021001,9047,141,62,732,233,251,3787,26,555,395,90,86,28,735,133,682,1698
022002,11057,125,71,854,253,262,5259,53,698,1065,120,53,15,874,221,680,1991
023003,5470,70,45,511,202,118,2542,19,283,302,52,35,14,416,65,578,1023
023004,7028,135,95,560,256,125,2332,28,298,469,70,25,8,506,91,1841,1307
024005,2552,28,20,252,53,73,1302,28,162,232,30,20,3,312,38,81,761
024006,7230,77,46,684,191,130,3081,22,208,345,29,18,6,578,154,610,1393
025007,4030,24,13,318,91,88,1621,34,112,325,38,52,13,760,142,149,985
025008,9015,91,58,775,243,156,3382,33,245,611,84,69,18,1383,379,1210,2311
029900,1654,49,42,101,41,42,833,9,153,88,0,4,1,113,13,164,270
031001,1882,19,9,215,50,71,807,12,86,89,13,15,6,221,75,46,395
032002,1586,13,6,127,23,63,712,28,126,157,43,11,3,178,29,18,323
032003,806,7,2,75,10,33,364,10,58,61,35,2,1,68,7,12,176
