id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,5021,65,54,459,108,125,2489,15,282,232,64,12,2,265,35,164,898
011002,11488,91,64,564,107,134,6444,15,241,312,54,10,3,362,113,71,1003
011003,22803,163,101,1411,388,317,13194,79,767,1260,220,48,20,1076,328,532,2907
011004,4799,33,22,252,52,81,2686,65,239,543,91,19,7,435,205,67,836
012005,9335,103,57,725,225,189,3262,50,510,467,138,45,18,578,72,642,1628
012006,19267,83,43,937,222,240,5513,38,486,525,147,45,12,531,84,445,1886
013007,7947,85,49,756,184,216,3927,46,463,337,187,34,12,482,74,249,1551
013008,7732,82,43,624,183,184,3737,72,443,348,141,34,7,582,169,229,1331
014009,7230,64,32,686,172,223,3766,63,557,366,120,20,11,596,105,205,1715
014010,10384,115,67,1032,284,295,4267,57,624,442,190,35,14,691,145,650,2123
019900,0,92,79,0,11,43,0,33,361,206,2,7,6,0,0,96,137
021001,11035,201,117,733,246,208,5342,66,773,591,136,44,11,691,128,763,1718
022002,10711,104,56,747,213,233,5790,130,707,1148,204,59,36,896,182,270,1890
023003,6693,118,74,532,226,96,3193,23,259,341,60,26,8,512,158,598,971
023004,6016,144,94,461,166,98,2641,31,263,378,64,29,9,548,194,1089,992
024005,2896,30,15,227,53,60,1578,67,213,265,78,17,10,302,73,28,832
024006,7400,106,70,630,185,107,3896,47,238,413,61,15,4,498,146,412,1460
025007,5073,30,12,322,91,99,2268,34,195,508,63,54,15,623,130,143,1074
025008,10530,132,71,953,262,164,4964,56,307,808,108,50,23,1193,437,967,2340
029900,0,82,65,0,11,19,312,21,201,194,1,0,0,31,0,161,91
031001,1878,11,5,187,43,78,968,26,144,107,51,28,13,219,43,26,406
032002,1658,7,0,150,27,64,784,25,139,132,90,15,9,175,35,27,375
032003,893,1,0,43,5,41,461,28,96,38,53,3,1,100,32,8,142
033004,836,5,2,74,13,23,389,9,74,88,72,13,5,86,20,12,143
033005,1476,4,3,65,17,35,823,19,111,101,76,14,5,114,31,6,159
034006,1023,8,3,72,14,28,520,16,110,75,64,7,5,94,20,8,190
034007,3611,24,15,240,43,96,2115,49,208,523,106,15,7,317,118,36,718
034008,3069,18,10,175,31,70,1448,42,238,388,60,15,5,332,84,39,671
035009,3722,33,22,330,72,124,1956,62,184,312,72,32,13,427,112,57,948
035010,1499,9,1,119,18,46,667,31,122,76,37,15,7,181,50,33,359
036011,4104,33,19,232,60,82,2484,65,205,494,87,12,4,338,107,89,1144
036012,3641,26,10,158,37,63,2144,55,204,557,71,16,8,332,86,35,764
036013,2703,21,7,164,33,56,1698,28,96,351,71,10,3,269,90,44,735
036014,4939,36,20,307,76,79,2732,65,357,445,110,22,4,564,265,61,748
037015,4237,25,9,327,92,89,2562,66,233,533,114,15,5,372,158,28,993
037016,3227,19,8,159,34,45,1739,85,271,443,97,13,4,374,117,40,742
039900,542,36,29,32,13,16,334,49,191,172,1,8,1,2,0,46,134
041001,3176,37,17,312,71,134,1353,61,382,66,51,20,12,274,26,197,778
042002,1607,9,5,141,33,34,712,26,136,73,80,10,7,145,45,17,283
042003,4856,26,11,318,64,129,2943,77,394,172,69,13,6,268,35,36,758
043004,5940,53,27,424,84,147,3400,102,421,456,108,22,15,423,94,95,1066
043005,2230,26,11,143,25,77,995,23,153,86,28,8,4,197,50,38,375
043006,10776,94,54,745,159,215,5840,62,545,763,178,32,14,665,133,205,1673
044007,1738,9,7,101,14,58,905,55,250,95,159,8,3,191,73,18,358
044008,2433,16,9,165,29,64,1433,68,336,288,100,13,3,188,32,19,438
045009,3747,29,14,214,54,109,2072,71,395,235,82,9,3,193,21,41,668
045010,12280,139,79,940,232,254,6721,79,623,518,155,16,8,676,217,148,1930
045011,6459,52,29,403,91,135,3058,80,456,615,86,18,5,353,83,98,969
049900,0,33,29,13,9,62,0,51,254,79,0,6,3,0,0,36,145
051001,1872,14,8,204,46,64,933,28,167,84,55,20,10,174,12,21,461
051002,3132,28,12,432,86,174,1283,42,233,146,106,28,9,322,36,38,979
051003,6162,78,53,704,180,242,2626,40,282,273,76,17,6,459,59,180,1391
052004,1644,12,5,156,33,50,791,34,124,58,77,13,4,200,25,19,384
052005,2867,27,14,420,94,142,1123,20,164,66,119,32,14,353,96,40,920
