id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,5139,69,57,414,125,103,2515,17,272,310,38,14,3,283,42,273,1242
011002,9085,33,15,513,109,114,3847,15,197,369,35,5,1,405,159,132,850
011003,19246,131,81,1529,366,310,10103,68,574,878,133,27,6,1040,337,971,2798
011004,4209,26,14,286,59,69,1815,47,153,314,56,9,6,442,218,69,690
012005,7278,71,38,653,164,215,2469,37,398,447,83,29,12,496,99,435,1262
012006,9397,61,38,690,150,210,3631,30,280,360,73,31,8,435,73,474,1423
013007,6087,77,42,752,205,250,2623,46,287,260,73,29,13,439,92,217,1397
013008,6418,68,41,643,171,224,2535,65,342,273,87,28,6,551,188,388,1304
014009,6217,56,26,753,183,243,2689,62,441,363,88,30,9,564,114,125,1511
014010,8263,90,54,958,247,244,3252,52,438,434,108,39,8,710,169,534,1822
019900,3888,51,43,259,75,86,2323,26,272,165,1,4,3,163,19,174,600
021001,8680,103,59,674,193,215,3779,55,587,459,114,36,10,578,112,813,1584
022002,10388,91,51,772,254,231,5825,90,744,1201,139,45,14,768,153,295,2083
023003,4669,69,47,461,175,101,2095,23,209,272,79,23,2,354,91,512,892
023004,5594,106,82,475,192,105,2127,32,199,490,68,17,5,402,129,944,1050
024005,2356,17,7,203,47,78,1182,40,185,245,46,5,3,260,51,43,508
024006,6780,82,63,700,230,107,2991,28,248,356,35,17,10,447,117,640,1188
025007,4147,23,13,389,120,97,1792,37,149,394,48,16,5,534,136,93,804
025008,9552,96,64,951,337,178,3622,34,313,711,103,30,10,1018,335,1146,1886
029900,1643,45,40,114,39,33,971,17,147,125,0,7,1,106,5,139,267
031001,1478,11,2,179,37,72,634,15,66,144,13,12,6,176,47,33,337
032002,1674,10,6,124,15,46,800,28,134,200,40,8,4,152,20,16,309
032003,792,6,3,70,10,29,327,25,50,58,23,7,2,93,13,9,162
033004,877,4,2,84,20,29,418,3,102,126,34,1,0,109,18,14,200
033005,1327,6,3,94,21,36,691,20,107,102,59,8,2,132,32,12,184
034006,993,10,6,77,20,30,450,20,114,50,48,11,3,98,15,15,169
034007,3352,27,19,211,48,92,1869,46,175,579,63,15,3,303,96,42,663
034008,2509,35,23,219,52,95,1071,53,134,387,63,15,6,263,76,40,570
035009,3026,21,12,327,88,127,1399,73,146,278,63,23,6,336,51,50,748
035010,1264,11,5,124,25,45,536,31,73,86,24,12,5,150,22,42,280
036011,3161,47,24,293,109,78,1467,39,109,365,38,12,4,292,113,175,648
036012,2769,24,13,190,49,79,1451,55,133,439,39,14,7,264,89,54,490
036013,2249,14,4,187,55,59,1008,16,57,296,23,5,4,277,127,49,471
036014,4487,37,15,370,78,77,2098,58,184,309,68,32,12,435,177,72,701
037015,3411,22,14,340,75,71,1775,29,184,379,57,8,1,343,92,47,729
037016,2418,14,8,160,36,52,1227,61,167,318,55,9,3,269,86,43,511
039900,1039,21,18,60,15,27,540,31,111,144,1,5,3,68,8,33,153
041001,2532,23,6,279,84,107,1030,70,240,123,51,16,9,232,22,185,721
042002,1462,19,13,153,45,44,641,35,131,77,89,8,6,141,53,33,315
042003,3920,25,16,318,83,119,2188,66,348,212,79,11,4,243,33,45,704
043004,4814,41,24,474,106,150,2305,69,263,410,104,26,11,443,118,79,1199
043005,1991,7,3,158,35,75,848,19,129,126,27,11,10,121,21,50,399
043006,8924,76,35,736,161,236,4736,48,334,695,137,28,9,618,129,120,1931
044007,1770,12,5,96,19,56,794,41,259,96,87,10,7,237,83,15,381
044008,2152,14,4,155,26,57,1159,79,232,233,68,11,4,189,41,33,433
045009,3668,38,14,256,49,97,1900,56,249,232,69,13,8,207,39,40,831
045010,11280,87,41,944,267,220,6088,73,451,541,131,25,12,692,206,234,2534
045011,7848,42,18,346,86,159,2925,78,358,640,91,29,8,357,61,120,1166
049900,1299,33,26,132,50,57,760,47,183,89,0,7,4,78,7,70,274
051001,1916,16,11,202,56,55,860,36,235,58,16,17,10,189,5,26,477
051002,2756,35,24,425,90,154,1011,56,194,174,41,29,13,296,10,54,902
051003,5871,105,62,718,185,217,2227,33,332,273,39,29,13,426,50,226,1419
