id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,4113,37,27,415,140,152,1574,17,195,306,28,27,7,335,48,227,894
011002,6251,41,21,494,148,164,2809,11,172,269,32,16,4,435,121,177,1127
011003,18999,163,99,1827,512,567,9041,50,618,852,108,69,13,1342,321,692,3803
011004,3759,64,47,313,107,124,1740,33,211,422,42,14,3,450,100,97,954
012005,6192,43,23,559,145,255,2105,54,376,354,48,44,14,497,72,290,1279
012006,9871,88,60,821,221,359,3698,25,222,444,70,47,13,544,103,556,1723
013007,6203,76,35,669,223,294,2896,41,366,282,54,24,12,441,67,151,1473
013008,7543,91,53,705,245,272,3163,47,418,383,50,46,16,677,185,319,1653
014009,6608,65,35,724,207,341,3105,77,705,409,74,42,15,481,46,172,2070
014010,8553,104,63,998,328,466,3226,28,502,777,70,56,13,773,111,517,2270
019900,3086,51,39,192,70,103,1642,30,299,124,2,5,2,194,21,119,606
021001,7971,121,76,676,235,270,3439,39,613,460,39,50,11,674,99,622,1889
022002,9944,162,125,857,301,257,4795,55,596,993,72,97,26,1000,213,488,2134
023003,5454,109,77,517,210,129,2579,33,338,317,26,38,15,393,48,614,1283
023004,8267,206,163,587,278,156,2693,26,523,521,41,28,6,515,81,1589,1640
024005,2707,53,37,262,70,109,1338,30,148,238,32,10,5,298,39,62,859
024006,6914,109,70,735,230,157,3428,24,174,418,30,25,10,496,122,405,1566
025007,3733,28,14,323,87,150,1678,36,112,307,33,30,11,544,95,101,851
025008,8164,100,66,853,285,293,3406,45,293,743,54,44,10,1036,353,636,2019
029900,1834,47,39,121,43,37,1105,11,149,108,0,1,0,87,7,82,586
031001,2503,31,18,313,80,112,1174,16,198,151,23,29,15,286,58,31,574
032002,1584,9,6,119,25,66,745,32,112,170,53,18,5,140,20,15,272
032003,940,5,3,68,9,40,452,32,83,74,27,12,5,96,14,11,172
033004,1012,6,5,78,19,58,521,9,56,86,70,6,1,93,13,22,188
033005,1868,10,6,143,38,68,770,22,135,121,52,14,3,175,38,17,280
034006,1099,10,7,90,21,39,529,32,115,75,61,13,6,122,17,14,212
034007,3261,48,38,249,70,107,1664,25,165,376,36,17,5,330,69,44,691
034008,2621,31,22,221,64,126,1279,62,183,305,47,16,5,283,68,34,666
035009,3445,34,25,308,86,151,1702,51,184,365,51,24,7,456,104,65,830
035010,1243,5,2,145,36,80,501,46,111,63,20,16,9,135,25,29,350
036011,3480,73,66,341,125,102,1914,28,159,428,15,9,1,358,99,107,1116
036012,3091,36,18,199,46,64,1912,39,172,437,42,16,3,275,73,60,703
036013,2391,16,12,200,61,75,1224,17,85,315,23,11,3,324,106,76,513
036014,4453,56,45,385,127,150,2289,44,291,291,56,34,9,456,125,111,914
037015,3278,41,36,355,126,95,1691,36,184,405,36,13,5,413,101,66,904
037016,2652,27,22,184,46,93,1318,47,193,352,16,17,3,322,84,38,645
039900,1199,22,20,65,20,58,657,22,138,109,1,10,4,84,18,10,218
041001,2710,24,12,273,60,256,714,72,216,41,35,20,5,211,14,338,739
042002,1463,15,10,203,61,47,554,26,123,57,56,13,5,191,62,40,384
042003,3589,14,9,256,46,266,1542,62,340,155,66,26,5,316,38,52,860
043004,4444,39,26,349,86,181,1990,59,309,429,65,34,16,576,178,112,987
043005,1895,25,17,181,42,97,760,38,186,118,24,14,3,197,32,31,440
043006,7300,73,42,605,144,243,3643,60,404,560,86,40,13,511,98,184,1399
044007,2163,24,15,134,28,115,999,63,447,116,87,13,3,250,56,24,488
044008,2186,18,10,155,36,81,1149,54,247,211,61,12,9,242,41,29,652
045009,3509,27,18,255,61,144,1653,58,325,220,76,15,4,310,41,57,775
045010,12728,97,52,831,229,302,4564,49,697,414,102,24,6,661,176,316,1916
045011,5157,38,20,362,84,225,2543,68,501,469,77,29,5,420,76,97,1293
049900,1714,22,20,90,25,101,1042,19,209,64,1,9,4,80,11,55,353
051001,1940,12,8,206,45,107,922,32,183,63,31,16,5,174,7,30,547
051002,3119,34,17,443,113,245,1129,65,320,85,99,23,10,352,14,59,997
051003,6324,86,63,691,171,310,2667,56,485,190,84,40,17,504,55,227,2000
052004,1580,16,9,177,37,76,679,24,191,50,49,28,11,165,18,31,392
052005,2562,22,14,326,77,192,832,28,190,53,77,82,45,315,28,46,761
052006,5664,50,30,555,123,199,2210,52,357,192,65,31,13,424,97,82,1166
053007,1874,18,7,216,48,121,769,47,246,76,33,7,4,190,24,40,497
053008,1594,13,5,142,25,78,615,28,181,79,8,18,4,174,30,24,329
054009,831,7,5,68,16,53,303,10,53,53,28,12,7,75,4,7,164
059900,854,14,12,58,23,34,424,16,167,26,0,9,5,72,6,13,219
061001,3255,31,24,209,48,148,1707,35,99,235,25,13,4,192,38,53,527
061002,2825,28,17,232,37,124,1327,87,224,230,66,16,5,292,40,52,818
062003,2988,19,9,349,57,182,1197,55,250,113,72,24,5,312,14,92,899
062004,2417,9,5,261,39,100,1075,47,149,163,74,26,7,289,59,26,640
063005,2574,17,10,183,40,100,1260,63,141,225,105,14,4,235,46,41,547
063006,3114,15,8,296,44,151,1338,90,178,195,76,20,8,316,29,43,752
064007,2520,17,13,166,33,85,932,29,183,148,81,27,19,463,186,35,439
064008,3408,25,14,219,46,115,1639,76,260,299,163,15,6,494,168,90,689
069900,656,6,6,20,5,27,383,17,87,93,0,3,2,79,7,26,160
071001,5962,69,49,573,160,199,3135,15,336,411,48,30,4,408,61,256,1560
071002,3116,31,19,221,53,109,1682,18,192,337,44,7,0,262,48,100,819
072003,2094,11,9,193,39,69,1076,35,152,209,23,8,6,194,29,56,584
072004,5465,35,25,452,101,153,2234,22,179,409,39,19,4,519,198,150,1130
073005,1899,16,11,122,14,81,940,19,112,190,44,19,2,224,60,20,450
073006,1917,18,11,153,26,120,941,70,205,156,17,12,5,214,43,42,562
074007,2228,15,9,200,39,96,802,26,159,162,12,9,0,269,113,108,579
074008,3733,33,15,320,58,195,1754,56,281,154,36,19,7,328,67,91,1043
074009,2140,15,11,188,45,103,1086,46,254,110,14,7,1,173,21,55,476
075010,2627,24,16,263,47,143,1180,47,189,101,26,11,6,202,16,45,681
075011,1853,10,7,172,32,99,803,37,168,65,55,8,2,154,16,28,438
076012,1314,10,7,141,41,62,595,33,139,33,22,10,4,137,29,41,329
076013,1238,9,8,163,34,91,470,24,85,13,10,8,2,163,3,27,395
076014,921,3,2,109,12,62,355,24,103,19,32,13,4,106,4,14,245
076015,1862,15,10,212,34,116,707,28,107,73,35,11,5,277,30,31,472
079900,921,18,18,85,18,54,467,17,106,63,1,3,2,68,5,16,233
081001,4637,57,37,487,158,145,2223,26,504,393,42,26,11,379,53,341,1073
081002,8655,104,60,697,232,265,4284,21,828,459,52,42,16,586,79,538,1556
081003,6355,59,36,591,197,187,3029,22,669,456,51,30,14,488,67,362,1337
081004,5090,62,25,531,168,201,2183,39,461,421,56,51,25,457,53,322,1236
081005,2860,15,6,197,44,117,1064,42,330,43,28,31,8,371,11,178,563
082006,2190,19,8,261,59,127,785,34,259,66,24,20,11,185,19,47,546
082007,2615,33,21,300,71,133,1098,61,340,79,40,35,17,284,39,46,618
082008,1660,23,13,237,58,119,605,41,184,30,51,11,7,164,5,20,560
083009,2298,26,15,224,53,101,1139,36,177,31,22,18,4,234,33,30,615
083010,1500,33,22,268,62,96,530,34,136,40,16,36,8,213,18,18,538
084011,908,8,1,105,24,58,382,20,117,29,17,7,2,62,3,21,222
084012,2838,33,19,283,62,161,1125,111,256,61,115,24,4,263,21,34,727
089900,1184,21,16,52,24,39,757,16,181,48,1,3,1,53,1,29,290
091001,2444,71,58,227,80,86,1217,22,137,276,24,19,9,217,31,153,600
091002,1157,9,7,83,17,47,590,42,138,74,29,7,5,159,20,14,282
091003,1619,13,6,159,41,78,795,52,170,123,28,11,3,182,30,42,391
091004,1664,11,2,142,31,107,649,22,140,109,46,8,1,154,25,27,421
092005,2302,11,8,289,66,109,943,41,215,135,19,11,3,286,48,72,653
092006,2523,12,9,210,58,85,1134,25,78,176,7,27,9,372,148,17,484
092007,2380,18,8,175,43,112,1190,37,155,185,43,15,7,248,28,41,498
092008,1155,6,2,140,30,71,426,18,83,63,11,11,4,192,45,27,367
093009,1955,16,5,226,43,139,799,36,105,79,62,11,1,230,24,25,528
093010,1251,5,0,107,21,63,562,23,115,60,39,7,1,124,8,17,278
093011,826,5,3,73,17,13,421,10,57,64,10,0,0,148,94,10,172
093012,236,0,0,22,5,5,117,5,37,8,1,2,1,25,6,6,52
094013,450,0,0,53,11,20,188,12,28,30,15,6,4,54,9,8,109
094014,826,9,6,74,12,42,394,20,58,40,7,12,8,81,7,18,178
094015,685,8,6,112,25,50,198,5,17,33,6,10,2,103,11,19,263
094016,234,0,0,22,3,13,68,6,9,4,10,3,2,26,6,9,48
095017,1187,12,9,98,22,47,561,16,81,110,17,15,5,158,53,23,265
095018,679,8,5,57,12,37,295,10,21,91,22,12,5,82,17,8,145
095019,1691,15,8,180,61,77,710,10,43,119,17,2,0,179,41,61,399
095020,588,5,4,46,12,16,269,17,70,67,16,6,1,74,9,11,115
099900,991,10,10,79,26,37,574,30,151,71,0,14,11,101,14,21,234
101001,2261,24,10,369,86,171,811,38,101,101,18,39,9,319,57,45,837
101002,5702,50,30,706,147,259,2583,95,541,191,81,41,13,522,54,72,1771
101003,4118,25,19,387,86,143,1806,94,407,95,50,23,8,384,36,70,938
102004,4136,58,41,663,142,237,1524,60,254,124,32,30,10,593,111,77,1383
102005,1813,24,18,242,38,102,743,17,182,132,20,28,7,192,20,41,649
102006,2200,26,18,266,66,129,939,32,157,55,20,41,12,283,65,52,638
103007,2482,15,9,172,31,114,1381,39,179,186,78,18,2,201,29,29,454
104008,1329,8,6,127,26,63,593,19,134,68,43,13,6,143,23,18,282
104009,1582,21,10,104,15,59,738,35,125,102,81,11,2,183,55,21,250
109900,607,12,11,39,15,31,322,9,76,45,0,4,2,75,12,9,139
111001,432,6,4,55,12,18,196,2,27,16,29,8,1,40,2,6,91
111002,2139,25,20,284,76,130,742,20,125,42,37,21,10,254,29,64,703
111003,2316,32,26,331,91,161,880,34,187,43,18,38,11,328,50,43,753
112004,1977,26,20,203,51,109,865,21,173,51,47,8,5,168,31,27,493
112005,2834,28,19,317,74,104,1337,105,289,131,64,24,10,246,38,48,786
113006,3085,35,27,300,76,117,1501,84,301,136,52,20,8,383,80,42,811
113007,5229,31,15,538,137,169,2505,88,355,279,55,67,20,508,125,93,1120
113008,2244,24,18,147,28,33,1146,26,143,71,22,7,3,220,95,64,539
114009,3012,37,28,334,68,113,1450,42,180,289,26,9,2,337,89,63,707
114010,1495,13,9,170,38,79,620,36,146,90,13,13,2,196,55,36,460
114011,2026,16,11,190,42,82,932,31,129,105,35,17,6,237,47,30,482
115012,513,6,4,38,7,10,287,13,33,75,11,3,1,59,18,11,91
115013,1477,10,7,121,26,75,785,30,79,196,62,6,1,127,24,19,372
119900,1026,6,6,36,7,19,722,15,131,41,0,5,0,51,7,10,199
121001,2725,22,15,332,77,182,1084,35,258,81,52,29,14,264,20,83,910
121002,3743,29,16,322,70,166,1416,50,325,121,55,26,8,308,48,71,877
122003,3168,37,14,411,118,166,1307,22,214,105,30,24,3,294,32,84,795
122004,1849,18,9,199,51,130,588,26,173,38,37,15,7,171,7,148,506
122005,1772,22,17,181,48,69,935,4,41,86,10,4,2,99,12,24,346
124006,1003,3,1,96,27,74,409,22,100,56,31,10,8,128,20,11,229
124007,1651,12,9,128,35,77,775,37,119,202,90,10,1,204,28,22,359
125008,1155,12,9,121,23,97,417,22,102,60,20,15,5,116,4,46,317
125009,5490,25,17,378,96,170,1363,44,234,144,71,15,9,284,82,72,859
126010,852,7,6,70,14,51,347,15,56,27,14,7,2,87,3,12,222
126011,2280,19,14,353,89,161,788,29,141,70,18,32,8,227,7,46,784
126012,872,11,6,109,18,86,254,9,58,27,23,6,2,84,4,18,294
129900,691,10,7,51,14,32,405,16,76,49,1,11,9,45,2,7,127
