id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,5294,72,46,482,134,121,2490,16,209,195,70,8,5,230,29,146,985
011002,8381,49,16,440,92,108,4405,10,179,371,52,3,2,361,139,78,832
011003,21164,199,104,1290,373,339,10532,84,682,1065,241,44,17,1138,340,465,2907
011004,4398,34,15,176,31,64,2266,56,230,492,127,6,1,375,154,73,759
012005,7204,77,32,546,150,153,2645,73,476,399,118,35,15,466,81,206,1204
012006,10423,54,30,588,155,175,3788,42,408,423,98,41,19,475,81,381,1263
013007,8316,111,52,751,190,216,3810,30,404,342,202,33,12,452,46,256,1617
013008,7269,108,47,617,165,214,3237,67,395,370,177,46,19,537,115,283,1533
014009,6944,89,46,627,151,229,3335,58,454,352,176,26,8,446,49,184,1641
014010,10413,131,68,1019,283,349,3770,61,478,426,257,33,17,654,143,493,2308
019900,1515,90,65,243,12,116,1656,38,437,234,6,30,10,272,0,315,654
021001,10849,132,81,699,214,225,4261,50,806,471,162,41,13,587,104,207,1583
022002,10696,113,57,881,242,247,4927,97,537,997,230,50,18,773,197,206,1867
023003,6668,113,77,517,211,112,3015,25,173,391,92,37,13,418,127,352,1045
023004,7159,178,136,580,274,117,2844,31,220,379,87,53,18,498,159,901,1236
024005,2693,31,21,184,47,73,1471,68,266,226,72,18,6,267,36,27,628
024006,6493,84,55,566,161,105,3419,40,304,356,46,16,5,505,101,277,1098
025007,4501,16,9,288,65,85,2070,72,194,468,70,27,10,529,73,60,968
025008,10270,159,111,887,303,160,5142,67,341,840,143,43,19,1128,217,640,2075
029900,2865,114,103,164,2,88,1644,35,266,207,2,29,7,329,1,369,582
031001,1497,6,3,124,33,77,762,30,191,96,24,19,8,173,37,20,304
032002,1510,7,2,110,30,57,738,23,160,122,82,11,3,132,22,12,302
032003,890,2,1,66,16,29,453,21,76,50,38,2,0,93,27,9,143
033004,798,4,3,52,8,23,402,9,89,104,50,2,0,97,9,9,143
033005,1475,8,1,78,19,46,830,17,133,107,53,7,7,102,14,5,187
034006,1115,9,3,56,6,38,618,19,109,100,67,4,0,111,20,14,213
034007,3545,33,19,174,37,73,2179,54,229,614,69,25,11,295,68,36,683
034008,2492,26,15,161,48,74,1397,69,214,388,72,13,10,290,56,15,655
035009,3126,26,13,278,66,104,1645,64,211,256,65,15,4,349,75,34,801
035010,1320,5,4,142,27,51,581,26,129,78,36,8,2,173,31,24,317
036011,3466,38,22,200,62,51,1950,51,230,516,45,11,4,281,83,59,712
036012,3228,31,13,157,36,51,1960,80,212,547,38,7,4,278,122,33,607
036013,2334,9,3,138,40,32,1469,47,108,361,95,7,4,214,70,19,603
036014,4264,27,15,232,59,59,2254,91,301,343,77,10,4,530,222,48,672
037015,3721,24,13,314,95,56,2249,62,190,424,187,7,2,340,109,29,921
037016,2849,13,7,143,28,49,1685,99,226,380,137,12,6,311,69,29,734
039900,2173,45,33,162,25,81,838,54,266,174,3,12,1,225,2,105,466
041001,2785,47,25,294,59,111,1170,53,378,63,76,9,4,224,49,158,725
042002,1445,14,9,151,48,36,709,54,200,59,96,1,1,183,73,20,287
042003,4549,37,25,212,44,112,2725,64,400,193,112,12,8,261,46,18,752
043004,4999,54,13,410,100,149,2462,59,387,447,166,13,6,422,142,113,1116
043005,2137,41,16,132,39,67,861,16,205,71,42,4,0,117,18,123,361
043006,10222,105,48,640,138,275,5160,72,498,681,220,22,7,567,97,209,1662
044007,1656,13,8,80,21,44,942,63,301,58,243,6,3,130,30,15,418
044008,2090,17,10,153,21,65,1216,39,251,250,173,9,3,154,22,22,484
045009,3952,36,18,247,54,132,1785,71,335,209,146,8,6,253,52,79,733
045010,12444,155,80,955,300,249,6059,117,708,415,246,27,11,618,174,212,1992
045011,5433,70,45,358,73,132,2766,87,590,569,224,12,7,365,89,83,997
049900,1610,52,41,208,10,121,974,72,421,102,2,11,2,128,0,156,520
051001,1491,17,10,151,42,64,687,33,140,63,35,17,6,164,7,32,370
051002,3178,34,12,411,86,136,1190,31,222,164,98,28,10,332,32,58,960
051003,6437,99,64,658,154,208,2762,37,345,303,55,26,10,522,81,216,1591
052004,1539,13,10,128,35,75,760,33,139,60,72,13,4,137,14,24,331
052005,2719,37,26,357,67,123,1033,36,152,102,74,31,10,292,20,29,858
052006,5597,61,27,526,127,184,2244,32,237,241,95,18,11,481,110,89,1047
053007,1894,19,7,138,30,47,836,31,186,65,31,17,8,158,17,18,337
053008,2062,24,7,165,43,58,1006,38,196,102,31,9,5,160,45,13,455
054009,965,6,3,79,16,31,448,21,92,27,63,6,4,90,5,5,150
059900,617,34,29,111,19,62,424,20,176,47,1,9,2,110,0,65,309
061001,3961,42,17,171,44,75,2293,39,172,179,115,6,2,231,68,36,477
061002,3127,43,25,258,43,129,1442,86,345,229,145,16,5,398,75,41,791
062003,2806,25,13,270,63,124,1136,67,288,101,101,35,18,263,37,109,648
062004,2635,15,7,196,38,83,1260,63,285,241,130,11,5,341,75,43,553
063005,2510,25,12,146,29,77,1361,58,351,310,146,11,4,296,67,37,441
063006,3235,9,7,190,29,97,1645,86,357,227,136,10,7,271,52,44,539
064007,2414,18,14,125,24,61,1257,69,307,143,159,12,3,295,102,22,369
064008,3738,21,10,139,28,80,2351,104,570,374,446,24,6,394,140,42,627
069900,646,12,10,80,5,63,347,10,133,56,1,14,2,91,0,59,250
